Player,PlayerName1,PlayerName2,PlayerName3,Rating,Salary
Abdoulaye Ba,Abdoulaye,Ba,,6.78,
Adnan Januzaj,Adnan,Januzaj,,7.04,
Aduriz,Aduriz,,,6.25,
Aissa Mandi,Aissa,Mandi,,6.67,
Aleix García,Aleix,García,,6.56,
Álex Gallar,Álex,Gallar,,6.47,
Álex Granell,Álex,Granell,,6.87,
Álex Moreno,Álex,Moreno,,6.73,
Alfonso Pedraza,Alfonso,Pedraza,,6.72,
Allan-Roméo Nyom,Allan-Roméo,Nyom,,6.65,
Álvaro García,Álvaro,García,,6.34,
Álvaro González,Álvaro,González,,6.66,
Álvaro Medrán,Álvaro,Medrán,,6.53,
Anaitz Arbilla,Anaitz,Arbilla,,6.7,
Ander Capa,Ander,Capa,,6.6,
André Silva,André,Silva,,6.93,
Andrés Guardado,Andrés,Guardado,,6.55,
Ángel,Ángel,,,6.46,21410
Ángel Correa,Ángel,Correa,,6.68,
Anthony Lozano,Anthony,Lozano,,6.15,
Antoñito,Antoñito,,,6.41,
Anuar Mohamed,Anuar,Mohamed,,6.41,
Aritz Elustondo,Aritz,Elustondo,,6.93,
Arthur,Arthur,,,6.49,
Arturo Vidal,Arturo,Vidal,,6.89,
Asier Illarramendi,Asier,Illarramendi,,6.75,
B. Mayoral,B.,Mayoral,,6.5,19000
Bacca,Bacca,,,6.38,
Bale,Bale,,,6.88,
Bale ,Bale,,,6.88,394402
Bebé,Bebé,,,6.51,
Ben Yedder,Ben,Yedder,,7.23,
Beñat Etxebarria,Beñat,Etxebarria,,6.68,
Benzema,Benzema,,,7.38,
Benzema ,Benzema,,,7.38,169029
Bernardo Espinosa,Bernardo,Espinosa,,6.77,
Borja,Borja,,,6.31,
Borja Fernández,Borja,Fernández,,6.27,
Borja García,Borja,García,,6.8,
Borja Iglesias,Borja,Iglesias,,6.93,42500
Brais Méndez,Brais,Méndez,,6.99,
Braithwaite,Braithwaite,,,6.67,
Bruno González,Bruno,González,,6.65,
Carlos Soler,Carlos,Soler,,6.77,
Carrillo,Carrillo,,,6.91,33500
Casemiro,Casemiro,,,7.15,
Charles L.,Charles,L.,,6.7,24000
Chema Rodríguez,Chema,Rodríguez,,6.64,
Chimy Avila,Chimy,Avila,,6.68,
Christian Rivera,Christian,Rivera,,6.74,
Clément Lenglet,Clément,Lenglet,,6.88,
Coke,Coke,,,6.63,
Correa,Correa,,,6.68,67000
Cote,Cote,,,7.06,
Cristian Tello,Cristian,Tello,,6.78,
